y,u_50,u_100,u_200,u_300
0,1.8,1.35,0.9,0.4
0.5,2.45,1.8,1.95,1.7
1,3,2.55,2.45,2.2
1.5,3.3,2.9,2.7,2.5
2,3.4,3.15,2.88,2.68
2.5,3.5,3.3,3,2.8
3,3.55,3.4,3.15,2.9
3.5,3.65,3.5,3.23,3
4,3.75,3.55,3.32,3.05
4.5,3.8,3.62,3.4,3.1
5,3.85,3.7,3.45,3.2
5.5,3.9,3.75,3.55,3.3
6,3.95,3.8,3.6,3.35
6.5,4,3.85,3.65,3.4
7,,3.87,3.7,3.45
7.5,,3.9,3.75,3.5
8,,,3.78,3.55
8.5,,,3.8,3.6
9,,,3.83,3.62
9.5,,,3.85,3.65
10,,,3.875,3.7
10.5,,,3.9,3.75
11,,,,3.78
11.5,,,,3.79
12,,,,3.8
12.5,,,,3.85
