Q,u,h,mu,Re,d,A,u_1,u_2,exp,Re_16,Blasius,,Re_64,,,
1.46667E-06,0.024671925,0.003,0.00089,241.1749966,0.0087,5.94468E-05,0.078214772,0.094522269,0.21031655,0.066341869,0.020046752,,0.265367475,,0.000256041,0.001217408
2.06667E-06,0.034764985,0.004,0.00089,339.8374953,0.0087,5.94468E-05,0.104286362,0.111410905,0.141232341,0.047081326,0.018399638,,0.188325305,,0.000341388,0.002417208
0.00000817,0.137433836,0.006,0.00089,1343.454356,0.0087,5.94468E-05,0.156429544,0.140459551,0.013555707,0.011909597,0.013048824,,0.047638388,,0.000512082,0.037776119
8.53333E-06,0.143545745,0.007,0.00089,1403.19998,0.0087,5.94468E-05,0.182501134,0.153393369,0.014496917,0.011402509,0.012907651,,0.045610035,,0.000597429,0.041210762
0.000012,0.201861204,0.015,0.00089,1973.249972,0.0087,5.94468E-05,0.391073859,0.237107651,0.015708829,0.008108451,0.01185309,,0.032433803,,0.001280205,0.081495891
0.0000186,0.312884866,0.026,0.00089,3058.537457,0.0087,5.94468E-05,0.677861355,0.324675575,0.01133346,0.005231258,0.010623036,,0.020925034,,0.002219022,0.195793879
0.0000192,0.322977927,0.032,0.00089,3157.199956,0.0087,5.94468E-05,0.834290899,0.365577216,0.013090691,0.005067782,0.010539053,,0.020271127,,0.002731104,0.208629482
0.0000244,0.410451115,0.041,0.00089,4012.274944,0.0087,5.94468E-05,1.068935214,0.421195958,0.010385305,0.003987763,0.009926118,,0.01595105,,0.003499227,0.336940236
0.0000296,0.497924303,0.057,0.00089,4867.349932,0.0087,5.94468E-05,1.486080664,0.508452609,0.009810846,0.00328721,0.009458101,,0.013148839,,0.004864779,0.495857224
0.000032,0.538296544,0.072,0.00089,5261.999927,0.0087,5.94468E-05,1.877154522,0.581067085,0.010603459,0.003040669,0.009275544,,0.012162676,,0.006144984,0.579526339
